"Referee","yellow_card_ratio"
"Michael Salisbury",5.5
"John Brooks",5.33333333333333
"David Coote",4.73684210526316
"Peter Bankes",4.63636363636364
"Craig Pawson",4.43478260869565
"Kevin Friend",4.2
"Paul Tierney",4.08695652173913
"Darren England",4.07692307692308
"Chris Kavanagh",3.92857142857143
"Anthony Taylor",3.8695652173913
"Jarred Gillett",3.71428571428571
"Andre Marriner",3.41176470588235
"Graham Scott",3.36363636363636
"Simon Hooper",3.30769230769231
"Mike Dean",3.28571428571429
"Stuart Attwell",3.17647058823529
"Michael Oliver",3
"Robert Jones",3
"Martin Atkinson",2.43478260869565
"Jonathan Moss",2.36363636363636
"Andy Madley",2.26666666666667
"Tony Harrington",2
