 Team,Matches,Total Goals,Average Goals,Goals Conceded,Average Conceded,Goal Difference
  Manchester City ,14,40,2.86,14,1.00,26
  Arsenal ,14,33,2.36,11,0.79,22
  Tottenham Hotspur ,15,31,2.07,21,1.40,10
  Newcastle United ,15,29,1.93,11,0.73,18
  Liverpool ,14,28,2.00,17,1.21,11
  Leicester City ,15,25,1.67,25,1.67,0
  Fulham ,14,23,1.64,24,1.71,-1
  Brentford ,15,23,1.53,25,1.67,-2
  Brighton and Hove Albion ,13,22,1.69,17,1.31,5
  Leeds United ,14,22,1.57,26,1.86,-4
  Manchester United ,13,18,1.38,19,1.46,-1
  Bournemouth ,15,18,1.20,32,2.13,-14
  Chelsea ,14,17,1.21,17,1.21,0
  Crystal Palace ,14,15,1.07,18,1.29,-3
  Aston Villa ,14,14,1.00,21,1.50,-7
  Southampton ,15,13,0.87,27,1.80,-14
  West Ham United ,15,12,0.80,17,1.13,-5
 Nottingham Forest ,15,11,0.73,30,2.00,-19
  Everton ,15,11,0.73,17,1.13,-6
  Wolverhampton Wanderers ,15,8,0.53,24,1.60,-16
