 Team,Matches,Total Goals,Average Goals,Goals Conceded,Average Conceded,Goal Difference
  Liverpool ,31,79,2.55,22,0.71,57
  Manchester City ,31,72,2.32,20,0.65,52
  Chelsea ,30,64,2.13,23,0.77,41
  Tottenham Hotspur ,32,56,1.75,38,1.19,18
  Manchester United ,32,52,1.63,44,1.38,8
  West Ham United ,32,51,1.59,42,1.31,9
  Arsenal ,31,45,1.45,37,1.19,8
  Leicester City ,29,45,1.55,48,1.66,-3
  Crystal Palace ,31,43,1.39,40,1.29,3
  Aston Villa ,31,42,1.35,46,1.48,-4
  Brentford ,33,41,1.24,49,1.48,-8
  Southampton ,32,38,1.19,52,1.63,-14
  Leeds United ,32,38,1.19,68,2.13,-30
  Newcastle United ,31,34,1.10,54,1.74,-20
  Wolverhampton Wanderers ,32,33,1.03,28,0.88,5
  Everton ,30,33,1.10,52,1.73,-19
  Watford ,32,30,0.94,62,1.94,-32
  Brighton and Hove Albion ,32,29,0.91,37,1.16,-8
  Burnley ,30,25,0.83,44,1.47,-19
  Norwich City ,32,22,0.69,66,2.06,-44
