 Team,Matches,Fouls Won,Fouls Conceded,Yellow Cards,Red Cards
  Brighton and Hove Albion ,32,298,340,65,2
  Wolverhampton Wanderers ,32,294,332,53,2
  Leeds United ,32,309,389,91,1
  Brentford ,32,312,317,53,2
  West Ham United ,32,229,273,38,2
  Tottenham Hotspur ,32,343,331,57,1
  Norwich City ,31,370,296,47,1
  Watford ,31,288,375,52,2
  Newcastle United ,31,302,318,70,2
  Southampton ,31,302,349,54,2
  Aston Villa ,31,414,315,68,2
  Crystal Palace ,31,386,329,51,1
  Manchester United ,31,263,326,62,2
  Manchester City ,31,270,270,36,1
  Liverpool ,31,238,305,40,1
  Burnley ,30,252,310,54,1
  Everton ,30,311,299,61,4
  Arsenal ,30,286,291,45,3
  Chelsea ,30,327,324,48,1
  Leicester City ,29,316,262,40,1
