 Team,Matches,Total Corners,Average Corners,Crosses Attempted,Crossing Accuracy
  Newcastle United ,8,61,7.63,51,29
  Liverpool ,7,55,7.86,53,28
  Manchester City ,8,52,6.50,49,31
  Chelsea ,7,48,6.86,28,21
  Arsenal ,8,47,5.88,31,23
  Tottenham Hotspur ,8,46,5.75,39,29
  Brentford ,8,44,5.50,33,23
  Everton ,8,43,5.38,26,22
  Wolverhampton Wanderers ,8,40,5.00,39,25
  West Ham United ,8,36,4.50,33,21
  Leeds United ,7,36,5.14,29,25
  Southampton ,8,35,4.38,41,25
  Aston Villa ,8,34,4.25,34,22
  Brighton and Hove Albion ,7,33,4.71,29,25
  Fulham ,8,32,4.00,38,28
  Leicester City ,8,29,3.63,21,18
 Nottingham Forest ,8,28,3.50,30,23
  Bournemouth ,8,26,3.25,22,25
  Crystal Palace ,7,24,3.43,17,22
  Manchester United ,7,23,3.29,21,24
